molecule_chembl_id,smiles,pref_name,mw,alogp,hbd,hba,tpsa,cns_mpo
CHEMBL87992,CC(=O)O[C@H]1Cc2ccccc2N(C(N)=O)c2ccccc21,ESLICARBAZEPINE ACETATE,296.33,3.06,1,3,72.63,4.0
CHEMBL1077,Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1,BROMFENAC,334.17,2.89,2,3,80.39,4.5
CHEMBL1079,Clc1ccc2nsnc2c1NC1=NCCN1,TIZANIDINE,253.72,1.72,2,6,62.2,4.5
CHEMBL89598,C=CC(N)CCC(=O)O,VIGABATRIN,129.16,0.36,2,2,63.32,4.5
CHEMBL313972,C[C@H](Cc1ccc(O)c(O)c1)[C@@H](C)Cc1ccc(O)c(O)c1,MASOPROCOL,302.37,3.57,4,4,80.92,3.5
CHEMBL314854,CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1,FINGOLIMOD,307.48,3.2,3,3,66.48,3.0
CHEMBL1085,CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2,ACETOPHENAZINE,411.57,3.49,1,6,47.02,3.5
CHEMBL1086,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,DIBUCAINE,343.47,3.49,1,4,54.46,3.5
CHEMBL1087,Cc1cccc(C)c1NC(=O)C1CCCCN1C,MEPIVACAINE,246.35,2.73,1,2,32.34,4.0
CHEMBL1089,NNCCc1ccccc1,PHENELZINE,136.2,0.69,2,2,38.05,4.0
CHEMBL1090,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,VIDARABINE,267.25,-1.98,4,9,139.54,3.0
CHEMBL1091,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,HYDROCORTISONE ACETATE,404.5,2.35,2,6,100.9,3.5
CHEMBL1092,Cl.OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,TRIHEXYPHENIDYL HYDROCHLORIDE,301.47,4.33,1,2,23.47,3.5
CHEMBL1093,CCCNC(C)C(=O)Nc1c(C)csc1C(=O)OC,ARTICAINE,284.38,2.17,2,5,67.43,4.5
CHEMBL1094,NC(=O)OCC(COC(N)=O)c1ccccc1,FELBAMATE,238.24,0.96,2,4,104.64,4.0
CHEMBL1095,CCN1C(=O)NC(c2ccccc2)C1=O,ETHOTOIN,204.23,1.3,1,2,49.41,4.5
CHEMBL1096,CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1,AMLEXANOX,298.3,2.75,2,5,106.42,4.0
CHEMBL94081,C=CCOc1ccc(CC(=O)O)cc1Cl,ALCLOFENAC,226.66,2.53,1,2,46.53,4.5
CHEMBL1098,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,BUPIVACAINE,288.44,3.9,1,2,32.34,3.5
CHEMBL93268,O=N[O-].[Na+],SODIUM NITRITE,47.01,0.14,1,2,49.66,3.5
CHEMBL1101,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,BIPERIDEN,311.47,3.96,1,2,23.47,3.5
CHEMBL1102,CCC1(c2ccccc2)CCC(=O)NC1=O,GLUTETHIMIDE,217.27,1.77,1,2,46.17,4.5
CHEMBL1104,CC[N+](C)(C)c1cccc(O)c1,EDROPHONIUM,166.24,1.98,1,1,20.23,4.0
