names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,group,contrast
AXL,23.44325,0.99459237,1.5489666815667225e-121,1.3033041267131864e-119,0.564938768662976,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
B3GNT5,23.4421,1.3532647,1.5913993580537396e-121,1.3359359611037828e-119,0.36584465693675555,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
CSF3R,23.439718,0.97232914,1.6829880622440896e-121,1.4095891548328588e-119,0.5571883912095286,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
LINC02798,23.414946,0.9729415,3.0101410690635466e-121,2.51539208376244e-119,0.6013085052843483,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
ARHGAP35,23.383253,0.90900916,6.327461229235636e-121,5.263441101164853e-119,0.6022814963932226,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
GPCPD1,23.326372,0.9394642,2.3945772195408506e-120,1.9873904946125776e-118,0.5578594195604765,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
TTC7B,23.269484,1.0087178,9.033967094889913e-120,7.480819675114609e-118,0.5269921154168764,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
SH3RF3,23.199997,0.87496245,4.5536079094275144e-119,3.7622258034527416e-117,0.839523569870827,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
MPZL1,23.188465,1.0668132,5.952726090563292e-119,4.9071109828988075e-117,0.4811608790471397,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
CYTH3,23.17998,1.2770807,7.24971668092227e-119,5.962851241313169e-117,0.39627579265223956,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
ITGAL,23.158075,2.088148,1.205398010937985e-118,9.892101479448697e-117,0.2471061902365375,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
TMCC3,23.125082,1.0856689,2.5902567800296366e-118,2.116205098345195e-116,0.499614158698205,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
