names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,group,contrast
DTNA,27.414032,0.9462774,1.8660139737750568e-165,1.0475149916279272e-163,0.7568177956502039,Micro-PVM_2,DAM_vs_Homeostatic
AL078590.2,27.397703,2.1748526,2.920882111908936e-165,1.637170079295237e-163,0.2599895219755324,Micro-PVM_2,DAM_vs_Homeostatic
ARMH4,27.245474,1.282609,1.8802502777672355e-163,1.0490707380572955e-161,0.42241306071590395,Micro-PVM_2,DAM_vs_Homeostatic
KCNMB1,27.156443,3.146147,2.1251350790923995e-162,1.1820983135237221e-160,0.21554995468962393,Micro-PVM_2,DAM_vs_Homeostatic
CD81,27.154716,1.0940213,2.2272180047994726e-162,1.2370016114365022e-160,0.5277880040779338,Micro-PVM_2,DAM_vs_Homeostatic
P2RX7,27.141005,1.0408239,3.2333681105825615e-162,1.793098579021702e-160,0.5462944608065247,Micro-PVM_2,DAM_vs_Homeostatic
PAQR3,27.136858,1.7226146,3.619147910084124e-162,2.000973302975665e-160,0.314836316266425,Micro-PVM_2,DAM_vs_Homeostatic
CD53,27.044882,0.82338065,4.387278540217864e-161,2.41471852406788e-159,0.6918540439510648,Micro-PVM_2,DAM_vs_Homeostatic
TBC1D4,27.03164,1.0007354,6.279471897004996e-161,3.4509752387729707e-159,0.6619845944721341,Micro-PVM_2,DAM_vs_Homeostatic
ETV5,26.977543,1.1079909,2.711618359049109e-160,1.4879751658104414e-158,0.5217843792478477,Micro-PVM_2,DAM_vs_Homeostatic
